,code,bottom
0,002774,9.8
1,002824,17.0
2,002829,24.74
3,002830,21.02
4,002831,58.32
5,002832,48.206
6,002833,56.51
7,002835,11.08
8,002836,19.3
9,002837,20.87
10,002838,31.55
11,002839,9.59
12,002840,7.831
13,002841,60.3
14,002842,37.5
15,002843,19.22
16,002845,26.55
17,002846,16.05
18,002847,26.02
19,002848,13.82
20,002849,26.99
21,002850,60.21
22,002851,34.66
23,002852,32.8
24,002853,30.1
25,002855,12.0
26,002856,13.93
27,002857,25.5
28,002858,37.0
29,002859,33.01
30,002860,40.11
31,002861,24.9
32,002862,27.71
33,002863,13.22
34,002864,25.99
35,002865,19.35
36,002866,25.401999999999997
37,002867,25.53
38,002868,22.58
39,002869,29.62
40,002870,24.91
41,002871,31.71
42,002872,29.24
43,002873,39.02
44,002875,26.7
45,002876,59.6
46,002877,21.7
47,002878,32.2
48,002879,23.78
49,002880,51.93
50,002881,25.47
51,002882,13.23
52,002883,40.35
53,002884,50.6
54,002885,32.51
55,002886,32.62
56,002887,77.99
57,002888,24.65
58,002889,26.0
59,002890,30.51
60,002891,33.4
61,002892,31.2
62,002893,22.76
63,002895,19.89
64,002896,38.45
65,002897,33.36
66,002898,17.6
67,002899,25.19
68,002900,26.46
69,002901,32.72
70,002902,34.1
71,002903,36.02
72,002905,33.3
73,002906,21.5
74,002907,15.44
75,002908,23.56
76,002909,17.86
77,002910,17.72
78,002911,22.82
79,002912,36.26
80,002913,36.46
81,002915,7.72
82,002917,13.97
83,600903,8.73
84,600933,15.19
85,600939,6.58
86,600996,9.41
87,601019,13.07
88,601086,7.02
89,601108,16.91
90,601212,6.31
91,601228,6.02
92,601326,5.63
93,601366,9.9
94,601375,6.11
95,601619,1.51
96,601858,9.88
97,601878,15.21
98,601881,11.15
99,601949,6.72
100,601952,12.69
101,603032,6.955
102,603035,15.42
103,603037,24.65
104,603038,45.01
105,603039,52.66
106,603040,67.6
107,603041,20.81
108,603042,24.1
109,603043,18.92
110,603050,18.91
111,603055,14.7
112,603058,16.3
113,603063,17.2
114,603076,32.88
115,603078,68.8
116,603079,49.23
117,603081,16.97
118,603083,39.3
119,603086,37.03
120,603089,22.72
121,603096,59.5
122,603098,17.5
123,603103,24.89
124,603106,20.14
125,603110,23.36
126,603113,20.94
127,603127,49.72
128,603129,24.61
129,603133,28.48
130,603136,42.1
131,603138,30.36
132,603139,23.96
133,603157,15.03
134,603165,58.9
135,603177,16.7
136,603178,13.47
137,603179,34.81
138,603180,40.1
139,603181,20.61
140,603183,32.71
141,603186,25.0
142,603196,11.4
143,603197,49.03
144,603200,36.77
145,603208,42.26
146,603218,24.38
147,603225,32.02
148,603226,27.601999999999997
149,603228,32.921
150,603229,15.6
151,603232,44.68
152,603233,42.6
153,603238,21.0
154,603239,17.83
155,603260,49.03
156,603266,25.61
157,603269,21.31
158,603277,17.14
159,603278,22.4
160,603286,11.42
161,603289,17.07
162,603298,15.95
163,603303,13.65
164,603305,37.3
165,603316,12.9
166,603320,25.48
167,603321,11.06
168,603326,18.17
169,603330,32.96
170,603331,17.91
171,603335,10.25
172,603337,25.303
173,603345,22.38
174,603357,20.3
175,603358,36.02
176,603359,30.89
177,603360,20.71
178,603363,11.6
179,603365,22.52
180,603367,17.16
181,603378,19.75
182,603380,18.31
183,603383,41.83
184,603385,21.66
185,603386,13.78
186,603387,52.5
187,603388,16.62
188,603389,12.48
189,603396,37.63
190,603416,29.5
191,603429,38.02
192,603444,195.18
193,603458,64.12
194,603466,49.5
195,603488,14.35
196,603496,31.2
197,603499,21.22
198,603500,23.74
199,603501,31.36
200,603505,17.87
201,603507,37.81
202,603517,35.7
203,603527,23.8
204,603533,38.45
205,603535,25.4
206,603536,18.2
207,603538,25.01
208,603557,14.06
209,603577,13.9
210,603578,27.01
211,603579,52.005
212,603580,28.3
213,603585,31.43
214,603586,23.93
215,603595,66.06
216,603602,38.56
217,603603,34.85
218,603605,27.38
219,603607,38.51
220,603612,43.0
221,603615,12.64
222,603617,19.91
223,603619,32.0
224,603626,28.96
225,603628,13.41
226,603630,26.2
227,603637,21.75
228,603638,25.51
229,603639,43.72
230,603648,17.04
231,603656,29.7
232,603659,51.02
233,603661,71.29
234,603665,29.01
235,603668,11.5
236,603676,11.5
237,603677,21.54
238,603679,22.8
239,603683,18.27
240,603685,34.34
241,603689,13.89
242,603690,18.58
243,603707,21.57
244,603708,14.87
245,603711,17.02
246,603717,26.36
247,603721,28.41
248,603722,37.35
249,603725,16.6
250,603728,20.8
251,603730,33.86
252,603757,54.7
253,603758,13.54
254,603767,14.48
255,603768,17.72
256,603776,54.76
257,603787,12.7
258,603797,17.66
259,603801,47.03
260,603803,17.7
261,603809,35.5
262,603811,27.05
263,603813,26.0
264,603817,12.01
265,603823,16.41
266,603825,28.07
267,603826,13.6
268,603829,15.67
269,603833,72.12
270,603839,21.97
271,603848,9.47
272,603855,11.25
273,603856,18.76
274,603860,32.0
275,603877,24.0
276,603878,17.78
277,603879,15.26
278,603880,22.75
279,603881,40.5
280,603882,27.44
281,603886,18.65
282,603896,44.08
283,603903,35.0
284,603906,14.72
285,603908,34.21
286,603912,23.83
287,603916,16.45
288,603917,20.48
289,603920,17.91
290,603922,25.0
291,603926,25.31
292,603928,14.65
293,603929,25.25
294,603933,48.38
295,603937,20.41
296,603938,33.1
297,603955,38.89
298,603960,26.701
299,603963,23.61
300,603966,15.5
301,603970,26.91
302,603976,24.77
303,603978,82.96
304,603980,19.72
305,603985,35.8
306,603991,26.48
